"Name","ID","Runtime","Sweep","accuracy","epoch","n_epochs","batch_size","n_mels","n_fft","win_length","hop_length","f_max","mix_up","normalize","learning_rate","arch","valid_loss","train_loss"
"faithful-sweep-17","s582waef","128","3wp1qhom","0.8100000023841858","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.7125810980796814","0.5496174693107605"
"lyric-sweep-16","8xmghxlc","131","3wp1qhom","0.824999988079071","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.639888346195221","0.5526564121246338"
"apricot-sweep-15","k0a81ev2","835","3wp1qhom","0.9075000286102296","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.3856067657470703","0.3367810547351837"
"jolly-sweep-14","m73qx3xt","839","3wp1qhom","0.912500023841858","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.3499934673309326","0.3445894420146942"
"wandering-sweep-13","yhcpko45","855","3wp1qhom","0.9049999713897704","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.35955744981765747","0.3389107882976532"
"dauntless-sweep-12","b1tiq442","842","3wp1qhom","0.915000021457672","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.33992812037467957","0.3259908854961395"
"stellar-sweep-11","ml72m62v","782","3wp1qhom","0.8924999833106995","81","80","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.3868299424648285","0.3317658603191376"
"sage-sweep-10","05r27z93","205","3wp1qhom","0.8725000023841858","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.5011440515518188","0.44690972566604614"
"twilight-sweep-9","gb79g1py","223","3wp1qhom","0.8600000143051147","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.5084329843521118","0.4563252925872803"
"copper-sweep-8","9rolua29","221","3wp1qhom","0.8799999952316284","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4280598759651184","0.4602489471435547"
"helpful-sweep-7","wxri3y67","222","3wp1qhom","0.8774999976158142","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4500546157360077","0.4356846511363983"
"glamorous-sweep-6","m3fpilgj","203","3wp1qhom","0.8450000286102295","21","20","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.49847447872161865","0.4627769589424134"
"hardy-sweep-5","vp026qbo","127","3wp1qhom","0.8550000190734863","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4921894073486328","0.5822226405143738"
"apricot-sweep-4","n3fd49m3","116","3wp1qhom","0.8424999713897705","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.53030925989151","0.5562218427658081"
"fast-sweep-3","5no8xmzd","124","3wp1qhom","0.8575000166893005","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4807668626308441","0.5667248368263245"
"easy-sweep-2","93jhj57r","125","3wp1qhom","0.8399999737739563","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.4877932071685791","0.5425918102264404"
"fresh-sweep-1","6j98p3ry","129","3wp1qhom","0.8274999856948853","11","10","64","224","4096","2205","308","18000","0.1","true","0.01","resnet18","0.594896137714386","0.5623977184295654"
"feasible-sweep-45","l3dwl05j","1397","l0smv5qe","0.9049999713897704","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet201","0.3377690613269806","0.3667291402816773"
"deep-sweep-44","pmhhxa6v","1420","l0smv5qe","0.912500023841858","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet201","0.3553689122200012","0.3398052752017975"
"fallen-sweep-43","n6qztyfv","1384","l0smv5qe","0.9024999737739564","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet201","0.3368719518184662","0.33878809213638306"
"wise-sweep-42","ucigznyt","1429","l0smv5qe","0.912500023841858","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet201","0.30601537227630615","0.3543792963027954"
"electric-sweep-41","q0krzjsd","1409","l0smv5qe","0.9049999713897704","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet201","0.31880292296409607","0.3424510955810547"
"driven-sweep-40","pp8j9h8f","1236","l0smv5qe","0.9100000262260436","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet169","0.3155791759490967","0.34935569763183594"
"magic-sweep-39","cj1wxmmu","1252","l0smv5qe","0.8999999761581421","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet169","0.3404863476753235","0.33623430132865906"
"confused-sweep-38","8k3w8wgc","1211","l0smv5qe","0.8924999833106995","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet169","0.3438170552253723","0.3558434545993805"
"breezy-sweep-37","ukj6wme0","1232","l0smv5qe","0.9175000190734864","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet169","0.282420814037323","0.3316553235054016"
"super-sweep-36","smsi3fvi","1256","l0smv5qe","0.8974999785423279","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet169","0.32813072204589844","0.36469122767448425"
"firm-sweep-35","cfqnk4e1","1579","l0smv5qe","0.9325000047683716","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.27504897117614746","0.3619949221611023"
"warm-sweep-34","l3l73ivd","1560","l0smv5qe","0.912500023841858","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.30965039134025574","0.34405508637428284"
"rose-sweep-33","3tu0zlcw","1572","l0smv5qe","0.9049999713897704","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.2807900905609131","0.35152265429496765"
"electric-sweep-32","nsvvklxq","1576","l0smv5qe","0.8974999785423279","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.31120574474334717","0.35574451088905334"
"fine-sweep-31","2b1cbh2n","1567","l0smv5qe","0.9225000143051147","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet161","0.258556604385376","0.32273852825164795"
"dazzling-sweep-30","vitlskui","1043","l0smv5qe","0.8824999928474426","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet121","0.35902079939842224","0.3664442300796509"
"quiet-sweep-29","zv1q5evs","1047","l0smv5qe","0.9100000262260436","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet121","0.31494638323783875","0.3625393211841583"
"deep-sweep-28","1o5hl5ma","1052","l0smv5qe","0.915000021457672","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet121","0.3258278965950012","0.3708646893501282"
"electric-sweep-27","mtiijqbi","1011","l0smv5qe","0.9049999713897704","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet121","0.35856807231903076","0.379422664642334"
"skilled-sweep-26","tldzukdt","1054","l0smv5qe","0.8899999856948853","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","densenet121","0.3820897042751312","0.3683377504348755"
"mild-sweep-25","1w6zq29q","1425","l0smv5qe","0.8999999761581421","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet152","0.4014711081981659","0.3642157316207886"
"silvery-sweep-24","xyf0glui","1433","l0smv5qe","0.8949999809265137","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet152","0.34979048371315","0.3728280067443848"
"exalted-sweep-23","uic32mvg","1444","l0smv5qe","0.887499988079071","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet152","0.3364960849285126","0.34480369091033936"
"charmed-sweep-22","ca0bpbpy","1396","l0smv5qe","0.9075000286102296","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet152","0.364822655916214","0.342029869556427"
"clear-sweep-21","0zi8nslj","1421","l0smv5qe","0.8849999904632568","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet152","0.350038081407547","0.36101603507995605"
"restful-sweep-20","vggdybke","1112","l0smv5qe","0.8899999856948853","51","50","32","224","4096","2205","308","18000","0.1","true","0.01","resnet101","0.39063385128974915","0.34598636627197266"
